,Member_number,Date,itemDescription,quantidade,price
126,1649,30-06-2015,água engarrafada,8,104.05
127,2818,07-11-2015,fruta tropical,9,70.32
128,3332,31-01-2015,vegetais de raiz,0,173.83
129,1033,22-04-2015,fruta tropical,4,148.55
130,4222,27-05-2015,fruta tropical,3,8.30
131,3679,21-09-2015,citrino,2,25.92
132,2885,15-05-2015,citrino,0,226.40
133,3935,02-07-2015,salsicha,9,258.45
134,3283,01-05-2015,leite inteiro,2,13.62
135,3677,30-04-2015,citrino,0,108.96
136,1410,04-10-2015,citrino,0,40.09
137,2440,06-06-2015,salsicha,5,205.25
138,4229,06-03-2015,salsicha,8,86.80
139,4694,25-01-2015,citrino,7,33.99
140,3720,28-05-2015,salsicha,2,94.06
141,1952,23-03-2015,fruta tropical,8,119.88
142,4099,27-01-2015,água engarrafada,6,102.50
143,1510,16-05-2015,salsicha,2,178.40
144,1346,03-04-2015,outros vegetais,1,193.57
145,1178,15-11-2015,água engarrafada,3,119.88
146,1649,25-06-2015,fruta tropical,9,120.66
147,4243,02-04-2015,salsicha,8,83.68
148,4019,24-07-2015,pãezinhos / pãezinhos,9,138.82
149,4459,26-04-2015,fruta tropical,0,170.22
150,3855,09-03-2015,fruta tropical,9,1.30
151,1723,02-09-2015,iogurte,6,239.37
152,4110,30-03-2015,refrigerante,9,106.36
153,2600,28-01-2015,iogurte,0,216.93
154,2946,07-10-2015,refrigerante,7,203.57
155,2426,08-09-2015,água engarrafada,2,76.81
156,4170,03-05-2015,salsicha,4,115.73
157,1109,06-04-2015,citrino,8,76.42
158,2441,30-05-2015,salsicha,5,0.26
159,1367,05-08-2015,outros vegetais,3,36.30
160,1043,10-01-2015,citrino,1,194.59
161,3235,28-12-2015,vegetais de raiz,3,241.29
162,4554,16-07-2015,fruta tropical,9,103.77
163,3929,28-04-2015,vegetais de raiz,8,217.94
164,3760,22-11-2015,leite inteiro,8,198.38
165,1174,11-02-2015,pãezinhos / pãezinhos,1,6.49
166,4103,19-06-2015,leite inteiro,9,47.36
167,4408,13-03-2015,leite inteiro,4,182.29
168,2588,28-12-2015,citrino,5,5.16
169,2598,11-11-2015,pastelaria,5,14.53
170,2702,08-04-2015,fruta tropical,7,251.05
171,2838,10-11-2015,pãezinhos / pãezinhos,1,245.86
172,1683,26-05-2015,vegetais de raiz,5,33.99
173,4040,03-04-2015,iogurte,7,255.46
174,3897,23-08-2015,outros vegetais,4,61.24
175,3700,19-04-2015,outros vegetais,3,105.09
176,3973,10-06-2015,pãezinhos / pãezinhos,4,205.64
177,3967,23-11-2015,leite inteiro,7,111.55
178,4002,03-09-2015,fruta tropical,7,216.93
179,2962,01-03-2015,água engarrafada,4,184.88
180,1588,13-10-2015,salsicha,1,126.11
181,2166,10-12-2015,salsicha,6,252.22
182,4240,29-04-2015,iogurte,9,19.72
183,2357,08-07-2015,refrigerante,3,41.49
184,2331,15-02-2015,salsicha,2,225.10
185,1643,28-04-2015,iogurte,3,50.60
186,3675,04-07-2015,leite inteiro,0,221.21
187,4212,01-05-2015,outros vegetais,5,105.74
188,1500,21-03-2015,leite inteiro,8,237.69
189,2622,01-10-2015,outros vegetais,3,84.59
190,3543,18-03-2015,fruta tropical,7,5.84
191,1122,21-12-2015,água engarrafada,1,234.83
192,3507,12-08-2015,outros vegetais,9,258.06
193,4524,26-04-2015,citrino,6,169.96
194,3612,27-09-2015,salsicha,3,236.10
195,1652,17-03-2015,outros vegetais,5,166.33
196,3445,30-04-2015,refrigerante,5,79.14
197,3180,15-03-2015,leite inteiro,3,0.26
198,4934,06-09-2015,pãezinhos / pãezinhos,3,215.89
199,2763,13-02-2015,vegetais de raiz,4,183.58
200,4819,04-03-2015,pastelaria,5,68.11
201,1850,11-03-2015,citrino,1,35.68
202,4285,29-12-2015,leite inteiro,5,138.18
203,4366,13-08-2015,refrigerante,8,136.10
204,2253,16-06-2015,água engarrafada,8,42.81
205,3398,11-03-2015,fruta tropical,2,81.74
206,3737,03-03-2015,água engarrafada,4,159.45
207,3203,07-08-2015,citrino,2,258.19
208,4261,16-02-2015,água engarrafada,7,214.72
209,1086,28-12-2015,pãezinhos / pãezinhos,6,260.00
210,3622,26-07-2015,refrigerante,3,236.65
211,2272,16-05-2015,pãezinhos / pãezinhos,9,82.39
212,2519,03-06-2015,refrigerante,7,67.73
213,2639,30-10-2015,salsicha,6,145.29
214,4122,23-10-2015,leite inteiro,9,37.63
215,1873,19-09-2015,salsicha,0,250.66
216,1537,01-02-2015,água engarrafada,3,127.12
217,3960,25-03-2015,fruta tropical,9,227.70
218,2453,21-12-2015,iogurte,6,102.37
219,1176,30-03-2015,leite inteiro,8,93.93
220,1580,05-12-2015,outros vegetais,5,151.02
221,4169,24-11-2015,leite inteiro,2,146.61
222,4095,01-11-2015,outros vegetais,0,192.28
223,1264,17-11-2015,água engarrafada,2,159.45
224,3242,23-05-2015,água engarrafada,0,67.98
225,2227,07-06-2015,outros vegetais,7,249.75
226,2920,26-04-2015,leite inteiro,0,10.90
227,4230,05-11-2015,pastelaria,8,193.32
228,3869,01-08-2015,salsicha,0,194.87
229,4242,30-03-2015,água engarrafada,0,226.01
230,4489,04-03-2015,outros vegetais,4,228.32
231,4839,19-12-2015,leite inteiro,3,182.94
232,4748,07-05-2015,pãezinhos / pãezinhos,9,24.00
233,2852,08-06-2015,citrino,2,5.71
234,3635,10-03-2015,outros vegetais,0,146.61
235,3495,11-03-2015,leite inteiro,1,129.09
236,4723,22-05-2015,fruta tropical,7,155.04
237,3313,08-04-2015,vegetais de raiz,2,131.30
238,4748,15-12-2015,refrigerante,1,92.38
239,2991,16-02-2015,leite inteiro,1,125.72
240,1483,01-04-2015,fruta tropical,6,68.63
241,2694,21-11-2015,fruta tropical,5,222.51
242,2276,11-01-2015,refrigerante,6,235.09
243,4726,06-02-2015,leite inteiro,1,107.56
244,1422,21-08-2015,outros vegetais,2,8.95
245,2714,15-03-2015,iogurte,1,166.33
246,4166,30-04-2015,água engarrafada,5,224.32
247,3614,02-03-2015,citrino,2,8.30
248,4728,06-09-2015,outros vegetais,9,184.88
249,3646,08-08-2015,refrigerante,2,193.32
250,1155,10-08-2015,leite inteiro,2,253.00
251,1602,29-08-2015,citrino,8,85.60
252,1348,17-09-2015,refrigerante,2,125.85
253,3806,28-08-2015,fruta tropical,0,59.66
254,1711,06-06-2015,refrigerante,7,159.58
255,1962,08-06-2015,fruta tropical,6,120.01
256,2551,21-10-2015,citrino,9,68.63
257,4415,27-01-2015,outros vegetais,9,224.32
258,1476,26-08-2015,iogurte,7,35.03
259,3978,23-07-2015,salsicha,2,168.64
260,2062,22-09-2015,leite inteiro,2,53.45
261,3922,24-06-2015,leite inteiro,9,234.83
262,1491,17-10-2015,vegetais de raiz,5,247.03
263,4484,27-11-2015,pãezinhos / pãezinhos,7,156.99
264,4273,14-06-2015,outros vegetais,2,163.73
265,2690,01-04-2015,outros vegetais,8,122.22
266,4129,22-09-2015,leite inteiro,0,42.81
267,1602,04-08-2015,salsicha,1,155.04
268,4369,01-02-2015,refrigerante,9,5.71
269,3326,30-04-2015,pãezinhos / pãezinhos,1,253.00
270,2067,12-08-2015,vegetais de raiz,9,71.36
271,2293,08-05-2015,pãezinhos / pãezinhos,2,210.16
272,2857,18-02-2015,vegetais de raiz,8,88.20
273,3684,13-08-2015,citrino,9,202.92
274,2777,07-04-2015,leite inteiro,3,89.52
275,1564,23-10-2015,salsicha,0,173.83
276,1757,23-12-2015,vegetais de raiz,5,234.18
277,2975,24-10-2015,pãezinhos / pãezinhos,6,96.53
278,4032,10-08-2015,outros vegetais,0,178.40
279,3979,16-09-2015,citrino,3,104.05
280,3772,09-03-2015,leite inteiro,5,232.50
281,2718,08-06-2015,salsicha,4,182.81
282,3735,28-11-2015,refrigerante,3,75.22
283,3900,20-12-2015,fruta tropical,3,91.47
284,4959,30-06-2015,outros vegetais,1,149.07
285,2289,04-11-2015,água engarrafada,4,91.99
286,1734,13-07-2015,pãezinhos / pãezinhos,4,153.35
287,4019,05-02-2015,pastelaria,8,158.54
288,1846,19-07-2015,pãezinhos / pãezinhos,2,161.14
289,2019,28-05-2015,citrino,2,53.84
290,3474,25-08-2015,vegetais de raiz,6,231.59
291,1678,14-11-2015,citrino,9,27.51
292,4254,14-08-2015,iogurte,0,170.61
293,4704,21-08-2015,fruta tropical,2,73.82
294,4867,29-10-2015,pãezinhos / pãezinhos,0,238.08
295,3899,23-03-2015,outros vegetais,7,127.41
296,1737,15-05-2015,fruta tropical,2,202.66
297,4202,18-02-2015,refrigerante,9,245.47
298,4387,16-09-2015,leite inteiro,7,106.36
299,4191,03-11-2015,fruta tropical,0,80.70
300,1444,16-12-2015,pãezinhos / pãezinhos,3,211.48
301,1699,14-05-2015,citrino,8,247.81
302,4954,04-05-2015,leite inteiro,1,31.79
303,1604,18-08-2015,salsicha,8,89.39
304,2319,10-05-2015,leite inteiro,8,123.90
305,3018,27-06-2015,pãezinhos / pãezinhos,1,229.64
306,1195,28-09-2015,leite inteiro,8,4.15
307,1768,04-09-2015,salsicha,7,223.80
308,3384,29-11-2015,água engarrafada,4,124.53
309,2096,25-01-2015,salsicha,7,52.16
310,1431,20-07-2015,iogurte,0,151.15
311,2747,05-07-2015,leite inteiro,5,201.75
312,3027,15-09-2015,salsicha,1,260.65
313,4452,17-06-2015,pastelaria,7,80.41
314,3523,09-11-2015,vegetais de raiz,2,118.32
315,2128,11-02-2015,leite inteiro,2,3.89
316,4762,30-10-2015,pãezinhos / pãezinhos,3,67.73
317,4018,17-11-2015,iogurte,0,9.73
318,1722,13-07-2015,fruta tropical,6,45.41
319,1438,19-10-2015,fruta tropical,3,65.52
320,2861,23-02-2015,leite inteiro,7,240.28
321,1509,30-12-2015,outros vegetais,7,83.68
322,2364,11-05-2015,pãezinhos / pãezinhos,5,234.83
323,1850,17-02-2015,iogurte,3,232.50
324,1949,17-03-2015,leite inteiro,1,133.50
325,4740,02-10-2015,água engarrafada,2,64.22
326,4196,09-07-2015,pãezinhos / pãezinhos,5,114.15
327,4814,13-09-2015,leite inteiro,4,94.58
328,1514,28-02-2015,pãezinhos / pãezinhos,9,214.07
329,2751,03-02-2015,fruta tropical,6,180.34
330,4155,24-09-2015,salsicha,6,174.50
331,4670,11-10-2015,salsicha,3,234.83
332,3442,14-11-2015,pãezinhos / pãezinhos,7,221.08
333,1457,09-01-2015,iogurte,2,5.45
334,3165,11-01-2015,pãezinhos / pãezinhos,0,186.18
335,2608,19-09-2015,pãezinhos / pãezinhos,4,230.91
336,1327,09-08-2015,pãezinhos / pãezinhos,9,141.68
337,3363,07-01-2015,pãezinhos / pãezinhos,6,112.23
338,2760,02-08-2015,citrino,8,135.45
339,3120,14-01-2015,água engarrafada,2,5.16
340,1332,30-04-2015,pastelaria,0,62.80
341,3188,06-12-2015,fruta tropical,2,247.68
342,4655,31-03-2015,leite inteiro,2,233.79
343,2490,18-12-2015,salsicha,0,65.13
344,2810,22-09-2015,salsicha,2,66.17
345,2785,18-10-2015,fruta tropical,3,69.41
346,3896,10-09-2015,salsicha,6,18.68
347,2648,10-07-2015,fruta tropical,2,60.33
348,4688,02-10-2015,iogurte,1,238.98
349,2716,18-01-2015,salsicha,0,257.15
350,3797,10-08-2015,outros vegetais,1,178.01
351,1456,18-09-2015,pãezinhos / pãezinhos,7,86.93
352,1138,02-09-2015,leite inteiro,7,128.44
353,4985,28-02-2015,pãezinhos / pãezinhos,5,124.53
354,4975,08-05-2015,fruta tropical,9,24.65
355,4697,09-01-2015,outros vegetais,4,79.01
356,2640,22-04-2015,outros vegetais,3,82.00
357,2825,29-12-2015,salsicha,8,132.86
358,2413,04-04-2015,leite inteiro,7,207.85
359,4440,21-09-2015,pãezinhos / pãezinhos,3,195.91
360,3668,18-12-2015,vegetais de raiz,0,179.02
361,4460,28-05-2015,pastelaria,9,79.79
362,1959,19-03-2015,citrino,1,195.26
363,3856,06-03-2015,salsicha,7,53.06
364,3141,29-07-2015,vegetais de raiz,5,171.91
365,4640,25-09-2015,vegetais de raiz,6,206.16
366,2193,08-04-2015,vegetais de raiz,1,33.08
367,1245,08-10-2015,fruta tropical,7,37.50
368,4527,18-10-2015,refrigerante,0,194.87
369,4442,28-11-2015,leite inteiro,1,190.98
370,3601,01-04-2015,leite inteiro,2,27.51
371,1856,26-10-2015,vegetais de raiz,1,148.55
372,1668,21-08-2015,citrino,7,60.33
373,1753,21-08-2015,vegetais de raiz,8,123.90
374,3829,25-06-2015,fruta tropical,9,73.82
375,4147,02-01-2015,citrino,5,213.94
376,4724,03-09-2015,citrino,3,153.61
377,4769,22-08-2015,citrino,9,150.76
378,2391,22-06-2015,citrino,5,110.15
379,3154,14-05-2015,citrino,0,112.23
380,3911,30-07-2015,salsicha,7,58.25
381,1385,26-11-2015,leite inteiro,2,260.00
382,1158,21-03-2015,iogurte,6,86.15
383,2733,22-07-2015,iogurte,0,213.43
384,4999,26-12-2015,água engarrafada,6,129.09
385,1533,07-11-2015,citrino,8,241.29
386,4323,13-05-2015,leite inteiro,2,73.17
387,2087,22-02-2015,outros vegetais,5,162.18
388,1136,29-10-2015,outros vegetais,1,162.05
389,2049,07-10-2015,fruta tropical,5,112.75
390,2245,15-05-2015,salsicha,9,219.26
391,4822,10-02-2015,água engarrafada,9,164.12
392,3987,18-06-2015,salsicha,9,96.27
393,1672,07-10-2015,leite inteiro,0,201.75
394,1283,22-09-2015,vegetais de raiz,9,171.52
395,4428,28-06-2015,salsicha,5,33.99
396,2577,25-10-2015,salsicha,3,192.54
397,1932,04-09-2015,iogurte,7,167.37
398,4387,10-02-2015,vegetais de raiz,4,62.80
399,3297,21-05-2015,outros vegetais,2,83.29
400,1365,20-05-2015,outros vegetais,8,6.75
401,2355,24-07-2015,fruta tropical,8,228.61
402,1170,19-03-2015,leite inteiro,4,74.60
403,4171,26-01-2015,salsicha,9,158.80
404,3963,17-09-2015,leite inteiro,7,203.05
405,3076,08-12-2015,pãezinhos / pãezinhos,9,179.69
406,1629,17-05-2015,citrino,2,258.84
407,1366,30-05-2015,leite inteiro,2,56.44
408,3677,29-07-2015,pastelaria,7,245.08
409,2844,21-05-2015,fruta tropical,9,88.74
410,3245,11-05-2015,refrigerante,3,31.40
411,3001,24-12-2015,leite inteiro,2,258.06
412,3587,05-08-2015,vegetais de raiz,3,125.20
413,2700,22-01-2015,refrigerante,9,210.44
414,4045,22-12-2015,água engarrafada,1,197.18
415,2280,11-01-2015,fruta tropical,0,123.25
416,2349,26-02-2015,salsicha,0,201.75
417,1463,24-12-2015,salsicha,6,125.72
418,3470,19-02-2015,vegetais de raiz,6,60.20
419,4914,29-11-2015,leite inteiro,9,27.89
420,3387,10-05-2015,refrigerante,1,70.32
421,3167,04-11-2015,refrigerante,0,18.68
422,1930,01-03-2015,fruta tropical,9,168.02
423,1617,10-02-2015,pãezinhos / pãezinhos,3,252.87
424,3554,23-07-2015,citrino,3,156.34
425,1429,07-02-2015,leite inteiro,6,204.34
426,4945,02-08-2015,outros vegetais,8,98.58
427,4342,18-03-2015,leite inteiro,8,157.25
428,1518,21-06-2015,fruta tropical,1,108.96
429,4818,20-03-2015,outros vegetais,4,86.93
430,4686,19-08-2015,salsicha,3,213.30
431,4986,01-02-2015,leite inteiro,1,210.44
432,2755,06-02-2015,pãezinhos / pãezinhos,9,3.76
433,3473,25-01-2015,leite inteiro,8,4.54
434,3204,20-02-2015,fruta tropical,1,194.59
435,1574,18-04-2015,outros vegetais,9,132.99
436,2009,11-10-2015,fruta tropical,1,41.49
437,1337,25-12-2015,outros vegetais,6,132.60
438,3574,13-06-2015,fruta tropical,6,156.34
439,1727,18-07-2015,citrino,2,177.10
440,1990,01-08-2015,citrino,8,249.08
441,3836,06-12-2015,iogurte,3,21.02
442,1658,03-09-2015,salsicha,9,177.10
443,1683,20-08-2015,leite inteiro,8,216.02
444,2920,11-10-2015,citrino,2,233.51
445,3423,02-06-2015,salsicha,5,210.16
446,4223,19-07-2015,citrino,0,64.22
447,2846,23-09-2015,outros vegetais,9,208.24
448,4321,29-01-2015,fruta tropical,8,47.87
449,1636,19-09-2015,pãezinhos / pãezinhos,5,112.10
450,4937,18-05-2015,leite inteiro,9,214.07
451,1293,01-03-2015,leite inteiro,8,209.53
452,2883,17-02-2015,citrino,4,124.81
453,3151,25-09-2015,água engarrafada,5,35.68
454,1499,17-05-2015,leite inteiro,5,250.66
455,2918,10-08-2015,leite inteiro,7,101.17
456,1815,13-01-2015,salsicha,2,218.23
457,3456,16-06-2015,vegetais de raiz,7,226.92
458,3426,25-10-2015,iogurte,2,175.15
459,4750,04-08-2015,iogurte,7,213.94
460,1171,05-05-2015,água engarrafada,7,94.97
461,4189,11-09-2015,salsicha,3,247.03
462,4254,20-07-2015,vegetais de raiz,8,104.96
463,4071,19-09-2015,salsicha,0,253.26
464,2109,28-10-2015,salsicha,6,9.73
465,1412,05-07-2015,vegetais de raiz,1,92.77
466,4056,20-10-2015,fruta tropical,2,242.62
467,4363,01-07-2015,leite inteiro,6,63.83
468,3190,21-11-2015,leite inteiro,2,21.41
469,3085,21-01-2015,refrigerante,2,182.29
470,3693,16-11-2015,leite inteiro,6,50.86
471,4165,18-08-2015,salsicha,2,116.74
472,3538,01-03-2015,citrino,4,131.04
473,2854,08-02-2015,outros vegetais,0,12.95
474,2899,06-09-2015,salsicha,1,235.09
475,2106,13-08-2015,água engarrafada,2,229.51
476,3857,01-10-2015,água engarrafada,0,186.80
477,4459,18-12-2015,água engarrafada,5,96.66
478,1580,14-06-2015,citrino,7,120.01
479,3047,07-09-2015,salsicha,7,146.61
480,4349,14-03-2015,citrino,3,140.77
481,4837,02-12-2015,citrino,1,73.82
482,4464,21-10-2015,salsicha,3,62.25
483,4972,06-02-2015,citrino,2,190.98
484,2729,24-09-2015,água engarrafada,8,223.80
485,1850,11-01-2015,fruta tropical,3,239.24
486,3809,24-03-2015,refrigerante,6,74.60
487,3437,02-02-2015,salsicha,1,52.42
488,1481,17-01-2015,iogurte,7,163.73
489,3715,11-05-2015,leite inteiro,6,110.93
490,1197,27-04-2015,citrino,4,107.56
491,3958,04-03-2015,citrino,8,123.25
492,3112,19-05-2015,pãezinhos / pãezinhos,9,50.86
493,4502,22-11-2015,vegetais de raiz,6,159.58
494,4719,01-06-2015,fruta tropical,9,50.86
495,2561,26-02-2015,vegetais de raiz,4,210.83
496,2643,21-04-2015,fruta tropical,8,228.32
497,3168,20-03-2015,outros vegetais,4,138.18
498,2832,02-11-2015,outros vegetais,3,248.07
499,1231,14-10-2015,salsicha,5,55.66
500,2421,22-11-2015,salsicha,3,96.66
501,4325,14-10-2015,iogurte,9,59.03
502,4947,18-11-2015,citrino,3,86.93
503,2194,11-01-2015,outros vegetais,3,193.96
504,2399,21-01-2015,pastelaria,0,87.19
505,4133,22-01-2015,citrino,9,38.27
506,4384,22-09-2015,citrino,1,114.69
507,3756,22-07-2015,refrigerante,7,60.33
508,3066,30-11-2015,vegetais de raiz,8,29.06
509,3289,01-03-2015,fruta tropical,0,170.61
510,3742,22-08-2015,salsicha,6,34.38
511,4537,09-04-2015,salsicha,5,242.62
512,3764,05-10-2015,salsicha,8,111.84
513,2175,06-03-2015,outros vegetais,6,64.22
514,3465,01-11-2015,água engarrafada,0,144.66
515,3072,26-01-2015,água engarrafada,7,154.65
516,2805,17-08-2015,pãezinhos / pãezinhos,8,249.62
517,2346,24-04-2015,fruta tropical,8,184.75
518,2610,26-02-2015,pãezinhos / pãezinhos,1,196.17
519,3458,13-08-2015,salsicha,8,112.88
520,2580,11-04-2015,salsicha,9,26.60
521,1782,16-08-2015,refrigerante,7,24.91
522,3050,07-04-2015,iogurte,9,239.89
523,4924,14-09-2015,pãezinhos / pãezinhos,0,175.41
524,1480,21-11-2015,pãezinhos / pãezinhos,4,33.08
525,3508,15-08-2015,leite inteiro,2,215.89
526,2545,18-11-2015,citrino,2,49.82
527,3638,06-06-2015,citrino,7,153.35
528,4536,06-04-2015,fruta tropical,5,121.93
529,2699,18-04-2015,outros vegetais,9,258.84
530,3119,05-02-2015,salsicha,8,6.49
531,4778,24-08-2015,citrino,7,5.16
532,3451,26-04-2015,fruta tropical,7,177.10
533,2221,16-12-2015,outros vegetais,0,202.92
534,2499,22-11-2015,vegetais de raiz,2,83.55
535,3585,21-07-2015,citrino,1,80.70
536,3910,28-02-2015,salsicha,5,184.88
537,1819,09-09-2015,vegetais de raiz,2,37.63
538,3846,28-01-2015,água engarrafada,9,186.18
539,3469,09-02-2015,outros vegetais,5,80.41
540,1601,09-12-2015,leite inteiro,4,120.92
541,4040,03-03-2015,salsicha,1,35.03
542,3926,07-06-2015,salsicha,4,169.96
543,4201,14-10-2015,fruta tropical,8,158.93
544,3716,10-11-2015,fruta tropical,1,152.06
545,4875,11-06-2015,citrino,4,158.26
546,3947,16-04-2015,pãezinhos / pãezinhos,6,33.71
547,2448,17-08-2015,água engarrafada,9,78.36
548,2688,11-04-2015,salsicha,7,108.96
549,3698,30-08-2015,salsicha,5,249.75
550,3898,21-08-2015,fruta tropical,0,177.62
551,1627,11-04-2015,pãezinhos / pãezinhos,0,223.13
552,4629,16-11-2015,citrino,6,67.44
553,2790,30-12-2015,iogurte,6,148.55
554,1934,27-02-2015,refrigerante,1,95.36
555,4214,20-03-2015,salsicha,1,109.63
556,2681,24-02-2015,refrigerante,8,256.86
557,4144,06-11-2015,vegetais de raiz,7,148.42
