Member_number,Date,itemDescription,quantidade,price
1033,22-04-2015,tropical fruit,4,57.25
4222,27-05-2015,tropical fruit,3,3.20
3679,21-09-2015,citrus fruit,2,9.99
2885,15-05-2015,citrus fruit,0,87.25
3935,02-07-2015,sausage,9,99.60
3283,01-05-2015,whole milk,2,5.25
3677,30-04-2015,citrus fruit,0,41.99
1410,04-10-2015,citrus fruit,0,15.45
2440,06-06-2015,sausage,5,79.10
4229,06-03-2015,sausage,8,33.45
4694,25-01-2015,citrus fruit,7,13.10
3720,28-05-2015,sausage,2,36.25
1952,23-03-2015,tropical fruit,8,46.20
4099,27-01-2015,bottled water,6,39.50
1510,16-05-2015,sausage,2,68.75
1346,03-04-2015,other vegetables,1,74.60
1178,15-11-2015,bottled water,3,46.20
1649,25-06-2015,tropical fruit,9,46.50
4243,02-04-2015,sausage,8,32.25
4019,24-07-2015,rolls/buns,9,53.50
4459,26-04-2015,tropical fruit,0,65.60
3855,09-03-2015,tropical fruit,9,0.50
1723,02-09-2015,yogurt,6,92.25
4110,30-03-2015,soda,9,40.99
2600,28-01-2015,yogurt,0,83.60
2946,07-10-2015,soda,7,78.45
2426,08-09-2015,bottled water,2,29.60
4170,03-05-2015,sausage,4,44.60
1109,06-04-2015,citrus fruit,8,29.45
2441,30-05-2015,sausage,5,0.10
1367,05-08-2015,other vegetables,3,13.99
1043,10-01-2015,citrus fruit,1,74.99
3235,28-12-2015,root vegetables,3,92.99
4554,16-07-2015,tropical fruit,9,39.99
3929,28-04-2015,root vegetables,8,83.99
3760,22-11-2015,whole milk,8,76.45
1174,11-02-2015,rolls/buns,1,2.50
4103,19-06-2015,whole milk,9,18.25
4408,13-03-2015,whole milk,4,70.25
2588,28-12-2015,citrus fruit,5,1.99
2598,11-11-2015,pastry,5,5.60
2702,08-04-2015,tropical fruit,7,96.75
2838,10-11-2015,rolls/buns,1,94.75
1683,26-05-2015,root vegetables,5,13.10
4040,03-04-2015,yogurt,7,98.45
3897,23-08-2015,other vegetables,4,23.60
3700,19-04-2015,other vegetables,3,40.50
3973,10-06-2015,rolls/buns,4,79.25
3967,23-11-2015,whole milk,7,42.99
4002,03-09-2015,tropical fruit,7,83.60
2962,01-03-2015,bottled water,4,71.25
1588,13-10-2015,sausage,1,48.60
2166,10-12-2015,sausage,6,97.20
4240,29-04-2015,yogurt,9,7.60
2357,08-07-2015,soda,3,15.99
2331,15-02-2015,sausage,2,86.75
1643,28-04-2015,yogurt,3,19.50
3675,04-07-2015,whole milk,0,85.25
4212,01-05-2015,other vegetables,5,40.75
1500,21-03-2015,whole milk,8,91.60
2622,01-10-2015,other vegetables,3,32.60
3543,18-03-2015,tropical fruit,7,2.25
1122,21-12-2015,bottled water,1,90.50
3507,12-08-2015,other vegetables,9,99.45
4524,26-04-2015,citrus fruit,6,65.50
3612,27-09-2015,sausage,3,90.99
1652,17-03-2015,other vegetables,5,64.10
3445,30-04-2015,soda,5,30.50
3180,15-03-2015,whole milk,3,0.10
4934,06-09-2015,rolls/buns,3,83.20
2763,13-02-2015,root vegetables,4,70.75
4819,04-03-2015,pastry,5,26.25
1850,11-03-2015,citrus fruit,1,13.75
4285,29-12-2015,whole milk,5,53.25
4366,13-08-2015,soda,8,52.45
2253,16-06-2015,bottled water,8,16.50
3398,11-03-2015,tropical fruit,2,31.50
3737,03-03-2015,bottled water,4,61.45
3203,07-08-2015,citrus fruit,2,99.50
4261,16-02-2015,bottled water,7,82.75
1086,28-12-2015,rolls/buns,6,100.20
3622,26-07-2015,soda,3,91.20
2272,16-05-2015,rolls/buns,9,31.75
2519,03-06-2015,soda,7,26.10
2639,30-10-2015,sausage,6,55.99
4122,23-10-2015,whole milk,9,14.50
1873,19-09-2015,sausage,0,96.60
1537,01-02-2015,bottled water,3,48.99
3960,25-03-2015,tropical fruit,9,87.75
2453,21-12-2015,yogurt,6,39.45
1176,30-03-2015,whole milk,8,36.20
1580,05-12-2015,other vegetables,5,58.20
4169,24-11-2015,whole milk,2,56.50
4095,01-11-2015,other vegetables,0,74.10
1264,17-11-2015,bottled water,2,61.45
3242,23-05-2015,bottled water,0,26.20
2227,07-06-2015,other vegetables,7,96.25
2920,26-04-2015,whole milk,0,4.20
4230,05-11-2015,pastry,8,74.50
3869,01-08-2015,sausage,0,75.10
4242,30-03-2015,bottled water,0,87.10
4489,04-03-2015,other vegetables,4,87.99
4839,19-12-2015,whole milk,3,70.50
4748,07-05-2015,rolls/buns,9,9.25
2852,08-06-2015,citrus fruit,2,2.20
3635,10-03-2015,other vegetables,0,56.50
3495,11-03-2015,whole milk,1,49.75
4723,22-05-2015,tropical fruit,7,59.75
3313,08-04-2015,root vegetables,2,50.60
4748,15-12-2015,soda,1,35.60
2991,16-02-2015,whole milk,1,48.45
1483,01-04-2015,tropical fruit,6,26.45
2694,21-11-2015,tropical fruit,5,85.75
2276,11-01-2015,soda,6,90.60
4726,06-02-2015,whole milk,1,41.45
1422,21-08-2015,other vegetables,2,3.45
2714,15-03-2015,yogurt,1,64.10
4166,30-04-2015,bottled water,5,86.45
3614,02-03-2015,citrus fruit,2,3.20
4728,06-09-2015,other vegetables,9,71.25
3646,08-08-2015,soda,2,74.50
1155,10-08-2015,whole milk,2,97.50
1602,29-08-2015,citrus fruit,8,32.99
1348,17-09-2015,soda,2,48.50
3806,28-08-2015,tropical fruit,0,22.99
1711,06-06-2015,soda,7,61.50
1962,08-06-2015,tropical fruit,6,46.25
2551,21-10-2015,citrus fruit,9,26.45
4415,27-01-2015,other vegetables,9,86.45
1476,26-08-2015,yogurt,7,13.50
3978,23-07-2015,sausage,2,64.99
2062,22-09-2015,whole milk,2,20.60
3922,24-06-2015,whole milk,9,90.50
1491,17-10-2015,root vegetables,5,95.20
4484,27-11-2015,rolls/buns,7,60.50
4273,14-06-2015,other vegetables,2,63.10
2690,01-04-2015,other vegetables,8,47.10
4129,22-09-2015,whole milk,0,16.50
1602,04-08-2015,sausage,1,59.75
4369,01-02-2015,soda,9,2.20
3326,30-04-2015,rolls/buns,1,97.50
2067,12-08-2015,root vegetables,9,27.50
2293,08-05-2015,rolls/buns,2,80.99
2857,18-02-2015,root vegetables,8,33.99
3684,13-08-2015,citrus fruit,9,78.20
2777,07-04-2015,whole milk,3,34.50
1564,23-10-2015,sausage,0,66.99
1757,23-12-2015,root vegetables,5,90.25
2975,24-10-2015,rolls/buns,6,37.20
4032,10-08-2015,other vegetables,0,68.75
3979,16-09-2015,citrus fruit,3,40.10
3772,09-03-2015,whole milk,5,89.60
2718,08-06-2015,sausage,4,70.45
3735,28-11-2015,soda,3,28.99
3900,20-12-2015,tropical fruit,3,35.25
4959,30-06-2015,other vegetables,1,57.45
2289,04-11-2015,bottled water,4,35.45
1734,13-07-2015,rolls/buns,4,59.10
4019,05-02-2015,pastry,8,61.10
1846,19-07-2015,rolls/buns,2,62.10
2019,28-05-2015,citrus fruit,2,20.75
3474,25-08-2015,root vegetables,6,89.25
1678,14-11-2015,citrus fruit,9,10.60
4254,14-08-2015,yogurt,0,65.75
4704,21-08-2015,tropical fruit,2,28.45
4867,29-10-2015,rolls/buns,0,91.75
3899,23-03-2015,other vegetables,7,49.10
1737,15-05-2015,tropical fruit,2,78.10
4202,18-02-2015,soda,9,94.60
4387,16-09-2015,whole milk,7,40.99
4191,03-11-2015,tropical fruit,0,31.10
1444,16-12-2015,rolls/buns,3,81.50
1699,14-05-2015,citrus fruit,8,95.50
4954,04-05-2015,whole milk,1,12.25
1604,18-08-2015,sausage,8,34.45
2319,10-05-2015,whole milk,8,47.75
3018,27-06-2015,rolls/buns,1,88.50
1195,28-09-2015,whole milk,8,1.60
1768,04-09-2015,sausage,7,86.25
3384,29-11-2015,bottled water,4,47.99
2096,25-01-2015,sausage,7,20.10
1431,20-07-2015,yogurt,0,58.25
2747,05-07-2015,whole milk,5,77.75
3027,15-09-2015,sausage,1,100.45
4452,17-06-2015,pastry,7,30.99
3523,09-11-2015,root vegetables,2,45.60
2128,11-02-2015,whole milk,2,1.50
4762,30-10-2015,rolls/buns,3,26.10
4018,17-11-2015,yogurt,0,3.75
1722,13-07-2015,tropical fruit,6,17.50
1438,19-10-2015,tropical fruit,3,25.25
2861,23-02-2015,whole milk,7,92.60
1509,30-12-2015,other vegetables,7,32.25
2364,11-05-2015,rolls/buns,5,90.50
1850,17-02-2015,yogurt,3,89.60
1949,17-03-2015,whole milk,1,51.45
4740,02-10-2015,bottled water,2,24.75
4196,09-07-2015,rolls/buns,5,43.99
4814,13-09-2015,whole milk,4,36.45
1514,28-02-2015,rolls/buns,9,82.50
2751,03-02-2015,tropical fruit,6,69.50
4155,24-09-2015,sausage,6,67.25
4670,11-10-2015,sausage,3,90.50
3442,14-11-2015,rolls/buns,7,85.20
1457,09-01-2015,yogurt,2,2.10
3165,11-01-2015,rolls/buns,0,71.75
2608,19-09-2015,rolls/buns,4,88.99
1327,09-08-2015,rolls/buns,9,54.60
3363,07-01-2015,rolls/buns,6,43.25
2760,02-08-2015,citrus fruit,8,52.20
3120,14-01-2015,bottled water,2,1.99
1332,30-04-2015,pastry,0,24.20
3188,06-12-2015,tropical fruit,2,95.45
4655,31-03-2015,whole milk,2,90.10
2490,18-12-2015,sausage,0,25.10
2810,22-09-2015,sausage,2,25.50
2785,18-10-2015,tropical fruit,3,26.75
3896,10-09-2015,sausage,6,7.20
2648,10-07-2015,tropical fruit,2,23.25
4688,02-10-2015,yogurt,1,92.10
2716,18-01-2015,sausage,0,99.10
3797,10-08-2015,other vegetables,1,68.60
1456,18-09-2015,rolls/buns,7,33.50
1138,02-09-2015,whole milk,7,49.50
4985,28-02-2015,rolls/buns,5,47.99
4975,08-05-2015,tropical fruit,9,9.50
4697,09-01-2015,other vegetables,4,30.45
2640,22-04-2015,other vegetables,3,31.60
2825,29-12-2015,sausage,8,51.20
2413,04-04-2015,whole milk,7,80.10
4440,21-09-2015,rolls/buns,3,75.50
3668,18-12-2015,root vegetables,0,68.99
4460,28-05-2015,pastry,9,30.75
1959,19-03-2015,citrus fruit,1,75.25
3856,06-03-2015,sausage,7,20.45
3141,29-07-2015,root vegetables,5,66.25
4640,25-09-2015,root vegetables,6,79.45
2193,08-04-2015,root vegetables,1,12.75
1245,08-10-2015,tropical fruit,7,14.45
4527,18-10-2015,soda,0,75.10
4442,28-11-2015,whole milk,1,73.60
3601,01-04-2015,whole milk,2,10.60
1856,26-10-2015,root vegetables,1,57.25
1668,21-08-2015,citrus fruit,7,23.25
1753,21-08-2015,root vegetables,8,47.75
3829,25-06-2015,tropical fruit,9,28.45
4147,02-01-2015,citrus fruit,5,82.45
4724,03-09-2015,citrus fruit,3,59.20
4769,22-08-2015,citrus fruit,9,58.10
2391,22-06-2015,citrus fruit,5,42.45
3154,14-05-2015,citrus fruit,0,43.25
3911,30-07-2015,sausage,7,22.45
1385,26-11-2015,whole milk,2,100.20
1158,21-03-2015,yogurt,6,33.20
2733,22-07-2015,yogurt,0,82.25
4999,26-12-2015,bottled water,6,49.75
1533,07-11-2015,citrus fruit,8,92.99
4323,13-05-2015,whole milk,2,28.20
2087,22-02-2015,other vegetables,5,62.50
1136,29-10-2015,other vegetables,1,62.45
2049,07-10-2015,tropical fruit,5,43.45
2245,15-05-2015,sausage,9,84.50
4822,10-02-2015,bottled water,9,63.25
3987,18-06-2015,sausage,9,37.10
1672,07-10-2015,whole milk,0,77.75
1283,22-09-2015,root vegetables,9,66.10
4428,28-06-2015,sausage,5,13.10
2577,25-10-2015,sausage,3,74.20
1932,04-09-2015,yogurt,7,64.50
4387,10-02-2015,root vegetables,4,24.20
3297,21-05-2015,other vegetables,2,32.10
1365,20-05-2015,other vegetables,8,2.60
2355,24-07-2015,tropical fruit,8,88.10
1170,19-03-2015,whole milk,4,28.75
4171,26-01-2015,sausage,9,61.20
3963,17-09-2015,whole milk,7,78.25
3076,08-12-2015,rolls/buns,9,69.25
1629,17-05-2015,citrus fruit,2,99.75
1366,30-05-2015,whole milk,2,21.75
3677,29-07-2015,pastry,7,94.45
2844,21-05-2015,tropical fruit,9,34.20
3245,11-05-2015,soda,3,12.10
3001,24-12-2015,whole milk,2,99.45
3587,05-08-2015,root vegetables,3,48.25
2700,22-01-2015,soda,9,81.10
4045,22-12-2015,bottled water,1,75.99
2280,11-01-2015,tropical fruit,0,47.50
2349,26-02-2015,sausage,0,77.75
1463,24-12-2015,sausage,6,48.45
3470,19-02-2015,root vegetables,6,23.20
4914,29-11-2015,whole milk,9,10.75
3387,10-05-2015,soda,1,27.10
3167,04-11-2015,soda,0,7.20
1930,01-03-2015,tropical fruit,9,64.75
1617,10-02-2015,rolls/buns,3,97.45
3554,23-07-2015,citrus fruit,3,60.25
1429,07-02-2015,whole milk,6,78.75
4945,02-08-2015,other vegetables,8,37.99
4342,18-03-2015,whole milk,8,60.60
1518,21-06-2015,tropical fruit,1,41.99
4818,20-03-2015,other vegetables,4,33.50
4686,19-08-2015,sausage,3,82.20
4986,01-02-2015,whole milk,1,81.10
2755,06-02-2015,rolls/buns,9,1.45
3473,25-01-2015,whole milk,8,1.75
3204,20-02-2015,tropical fruit,1,74.99
1574,18-04-2015,other vegetables,9,51.25
2009,11-10-2015,tropical fruit,1,15.99
1337,25-12-2015,other vegetables,6,51.10
3574,13-06-2015,tropical fruit,6,60.25
1727,18-07-2015,citrus fruit,2,68.25
1990,01-08-2015,citrus fruit,8,95.99
3836,06-12-2015,yogurt,3,8.10
1658,03-09-2015,sausage,9,68.25
1683,20-08-2015,whole milk,8,83.25
2920,11-10-2015,citrus fruit,2,89.99
3423,02-06-2015,sausage,5,80.99
4223,19-07-2015,citrus fruit,0,24.75
2846,23-09-2015,other vegetables,9,80.25
4321,29-01-2015,tropical fruit,8,18.45
1636,19-09-2015,rolls/buns,5,43.20
4937,18-05-2015,whole milk,9,82.50
1293,01-03-2015,whole milk,8,80.75
2883,17-02-2015,citrus fruit,4,48.10
3151,25-09-2015,bottled water,5,13.75
1499,17-05-2015,whole milk,5,96.60
2918,10-08-2015,whole milk,7,38.99
1815,13-01-2015,sausage,2,84.10
3456,16-06-2015,root vegetables,7,87.45
3426,25-10-2015,yogurt,2,67.50
4750,04-08-2015,yogurt,7,82.45
1171,05-05-2015,bottled water,7,36.60
4189,11-09-2015,sausage,3,95.20
4254,20-07-2015,root vegetables,8,40.45
4071,19-09-2015,sausage,0,97.60
2109,28-10-2015,sausage,6,3.75
1412,05-07-2015,root vegetables,1,35.75
4056,20-10-2015,tropical fruit,2,93.50
4363,01-07-2015,whole milk,6,24.60
3190,21-11-2015,whole milk,2,8.25
3085,21-01-2015,soda,2,70.25
3693,16-11-2015,whole milk,6,19.60
4165,18-08-2015,sausage,2,44.99
3538,01-03-2015,citrus fruit,4,50.50
2854,08-02-2015,other vegetables,0,4.99
2899,06-09-2015,sausage,1,90.60
2106,13-08-2015,bottled water,2,88.45
3857,01-10-2015,bottled water,0,71.99
4459,18-12-2015,bottled water,5,37.25
1580,14-06-2015,citrus fruit,7,46.25
3047,07-09-2015,sausage,7,56.50
4349,14-03-2015,citrus fruit,3,54.25
4837,02-12-2015,citrus fruit,1,28.45
4464,21-10-2015,sausage,3,23.99
4972,06-02-2015,citrus fruit,2,73.60
2729,24-09-2015,bottled water,8,86.25
1850,11-01-2015,tropical fruit,3,92.20
3809,24-03-2015,soda,6,28.75
3437,02-02-2015,sausage,1,20.20
1481,17-01-2015,yogurt,7,63.10
3715,11-05-2015,whole milk,6,42.75
1197,27-04-2015,citrus fruit,4,41.45
3958,04-03-2015,citrus fruit,8,47.50
3112,19-05-2015,rolls/buns,9,19.60
4502,22-11-2015,root vegetables,6,61.50
4719,01-06-2015,tropical fruit,9,19.60
2561,26-02-2015,root vegetables,4,81.25
2643,21-04-2015,tropical fruit,8,87.99
3168,20-03-2015,other vegetables,4,53.25
2832,02-11-2015,other vegetables,3,95.60
1231,14-10-2015,sausage,5,21.45
2421,22-11-2015,sausage,3,37.25
4325,14-10-2015,yogurt,9,22.75
4947,18-11-2015,citrus fruit,3,33.50
2194,11-01-2015,other vegetables,3,74.75
2399,21-01-2015,pastry,0,33.60
4133,22-01-2015,citrus fruit,9,14.75
4384,22-09-2015,citrus fruit,1,44.20
3756,22-07-2015,soda,7,23.25
3066,30-11-2015,root vegetables,8,11.20
3289,01-03-2015,tropical fruit,0,65.75
3742,22-08-2015,sausage,6,13.25
4537,09-04-2015,sausage,5,93.50
3764,05-10-2015,sausage,8,43.10
2175,06-03-2015,other vegetables,6,24.75
3465,01-11-2015,bottled water,0,55.75
3072,26-01-2015,bottled water,7,59.60
2805,17-08-2015,rolls/buns,8,96.20
2346,24-04-2015,tropical fruit,8,71.20
2610,26-02-2015,rolls/buns,1,75.60
3458,13-08-2015,sausage,8,43.50
2580,11-04-2015,sausage,9,10.25
1782,16-08-2015,soda,7,9.60
3050,07-04-2015,yogurt,9,92.45
4924,14-09-2015,rolls/buns,0,67.60
1480,21-11-2015,rolls/buns,4,12.75
3508,15-08-2015,whole milk,2,83.20
2545,18-11-2015,citrus fruit,2,19.20
3638,06-06-2015,citrus fruit,7,59.10
4536,06-04-2015,tropical fruit,5,46.99
2699,18-04-2015,other vegetables,9,99.75
3119,05-02-2015,sausage,8,2.50
4778,24-08-2015,citrus fruit,7,1.99
3451,26-04-2015,tropical fruit,7,68.25
2221,16-12-2015,other vegetables,0,78.20
2499,22-11-2015,root vegetables,2,32.20
3585,21-07-2015,citrus fruit,1,31.10
3910,28-02-2015,sausage,5,71.25
1819,09-09-2015,root vegetables,2,14.50
3846,28-01-2015,bottled water,9,71.75
3469,09-02-2015,other vegetables,5,30.99
1601,09-12-2015,whole milk,4,46.60
4040,03-03-2015,sausage,1,13.50
3926,07-06-2015,sausage,4,65.50
4201,14-10-2015,tropical fruit,8,61.25
3716,10-11-2015,tropical fruit,1,58.60
4875,11-06-2015,citrus fruit,4,60.99
3947,16-04-2015,rolls/buns,6,12.99
2448,17-08-2015,bottled water,9,30.20
2688,11-04-2015,sausage,7,41.99
3698,30-08-2015,sausage,5,96.25
3898,21-08-2015,tropical fruit,0,68.45
1627,11-04-2015,rolls/buns,0,85.99
4629,16-11-2015,citrus fruit,6,25.99
2790,30-12-2015,yogurt,6,57.25
1934,27-02-2015,soda,1,36.75
4214,20-03-2015,sausage,1,42.25
2681,24-02-2015,soda,8,98.99
4144,06-11-2015,root vegetables,7,57.20
4119,09-05-2015,whole milk,8,54.75
3523,19-04-2015,rolls/buns,6,28.50
3364,14-09-2015,citrus fruit,0,35.45
3759,08-09-2015,citrus fruit,1,40.45
4014,15-11-2015,soda,3,13.20
2787,24-06-2015,soda,7,18.99
2419,07-04-2015,sausage,5,31.45
1651,06-05-2015,tropical fruit,3,3.75
1467,02-05-2015,sausage,9,1.45
1015,04-05-2015,citrus fruit,2,84.60
3592,10-06-2015,sausage,5,84.20
1279,19-07-2015,root vegetables,2,22.99
3938,18-05-2015,whole milk,4,2.10
2001,09-09-2015,bottled water,9,26.45
3245,08-12-2015,whole milk,0,29.25
4878,18-04-2015,citrus fruit,9,54.25
3489,09-03-2015,tropical fruit,0,80.20
3090,14-02-2015,whole milk,7,51.60
4441,18-02-2015,soda,1,96.25
1242,18-05-2015,sausage,4,50.60
1190,11-06-2015,root vegetables,7,63.20
1872,24-08-2015,other vegetables,0,9.75
4291,09-12-2015,sausage,1,82.50
1345,21-03-2015,whole milk,0,56.50
2732,02-04-2015,sausage,0,16.60
1920,09-02-2015,whole milk,3,58.99
3241,20-09-2015,root vegetables,8,59.25
2962,26-04-2015,citrus fruit,7,55.60
1538,08-03-2015,sausage,6,30.25
3801,23-10-2015,root vegetables,6,58.20
4939,14-10-2015,citrus fruit,9,15.60
4419,23-12-2015,other vegetables,9,74.10
4217,01-12-2015,whole milk,1,2.20
2432,06-10-2015,whole milk,5,3.10
2951,05-09-2015,citrus fruit,4,19.50
1416,20-06-2015,other vegetables,3,60.10
4509,23-07-2015,sausage,9,74.20
1575,04-01-2015,yogurt,0,4.45
3202,16-04-2015,yogurt,4,21.99
2167,14-03-2015,citrus fruit,3,64.45
2517,28-01-2015,root vegetables,1,34.25
1212,19-06-2015,tropical fruit,2,93.25
2735,01-06-2015,yogurt,3,46.25
1212,31-07-2015,root vegetables,4,100.99
1324,26-03-2015,yogurt,5,37.75
4526,08-06-2015,citrus fruit,9,20.20
3802,15-10-2015,citrus fruit,7,30.20
2304,01-07-2015,bottled water,3,69.45
1955,13-02-2015,sausage,3,32.20
3130,02-05-2015,sausage,0,65.20
1110,20-11-2015,whole milk,9,51.20
2240,07-07-2015,sausage,5,1.25
4647,17-02-2015,soda,5,31.50
3872,07-02-2015,whole milk,6,64.50
3184,24-10-2015,root vegetables,0,18.45
3068,19-06-2015,other vegetables,1,76.60
1605,18-06-2015,yogurt,6,95.75
3835,11-05-2015,whole milk,7,61.20
3601,03-02-2015,sausage,9,75.50
4251,21-12-2015,soda,3,47.25
1665,11-04-2015,whole milk,0,89.10
2536,07-11-2015,whole milk,1,60.60
4133,27-07-2015,root vegetables,0,13.25
3445,15-02-2015,sausage,6,67.45
2080,21-04-2015,tropical fruit,7,41.75
3176,17-01-2015,root vegetables,1,20.10
4182,21-08-2015,pastry,4,78.25
4543,23-10-2015,rolls/buns,2,68.10
4642,03-12-2015,rolls/buns,2,91.99
2360,18-02-2015,rolls/buns,4,75.75
3231,31-03-2015,sausage,2,36.50
4495,06-03-2015,citrus fruit,0,73.20
1202,22-04-2015,yogurt,4,4.50
1811,23-09-2015,yogurt,5,38.60
3291,02-08-2015,tropical fruit,8,85.45
1878,27-11-2015,citrus fruit,5,47.75
1483,27-06-2015,rolls/buns,2,86.60
4386,08-09-2015,citrus fruit,1,52.60
2549,13-05-2015,other vegetables,1,40.20
3251,10-09-2015,soda,7,78.10
4932,20-11-2015,tropical fruit,0,76.50
4993,09-02-2015,citrus fruit,6,64.10
1035,08-09-2015,whole milk,3,89.25
4662,17-11-2015,rolls/buns,1,76.99
4866,21-08-2015,sausage,1,74.75
2492,18-06-2015,other vegetables,4,52.45
1044,09-02-2015,tropical fruit,6,1.60
3761,06-08-2015,citrus fruit,3,97.60
1145,07-10-2015,tropical fruit,6,74.10
4455,26-12-2015,sausage,0,19.75
